"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 09 15:07:19 GMT 2025","Tue Sep 09 15:07:24 GMT 2025","5294","Surefire suite","Surefire test","com.nashakava.ui.CmsTest","com.nashakava.ui.CmsTest","verifyOrderAppearsInCmsAfterPlacement","verifyOrderAppearsInCmsAfterPlacement","Verify order is visible in CMS after successful placement"
"broken","Tue Sep 09 15:07:38 GMT 2025","Tue Sep 09 15:07:40 GMT 2025","1952","Surefire suite","Surefire test","com.nashakava.ui.CartModalTest","com.nashakava.ui.CartModalTest","verifyQuantityControlsRemovalCounter","verifyQuantityControlsRemovalCounter","Verify functionality of product quantity controls (+, -) and removal (x)"
"passed","Tue Sep 09 15:06:58 GMT 2025","Tue Sep 09 15:07:01 GMT 2025","3136","Surefire suite","Surefire test","com.nashakava.ui.HeaderSmokeTest","com.nashakava.ui.HeaderSmokeTest","verifyNavigationFromAllTabsInHeader","verifyNavigationFromAllTabsInHeader","Verify Navigation From All Tabs In Header."
"passed","Tue Sep 09 15:07:27 GMT 2025","Tue Sep 09 15:07:34 GMT 2025","7375","Surefire suite","Surefire test","com.nashakava.ui.CartPageTest","com.nashakava.ui.CartPageTest","verifySuccessfulOrderPlacementWithValidData","verifySuccessfulOrderPlacementWithValidData","Verify successful order placement with valid contact, delivery, and payment details"
"passed","Tue Sep 09 15:07:05 GMT 2025","Tue Sep 09 15:07:09 GMT 2025","4415","Surefire suite","Surefire test","com.nashakava.ui.BaseTest","com.nashakava.ui.BaseTest","crmFirstTest","crmFirstTest",""
